Run 1.3T,/////////////,Polar L,/////////////,Polar R,/////////////
545.8914,0.40424,545.8914,0.40345,545.8914,0.40344
545.8916,0.40426,545.8916,0.4034,545.8916,0.4035
545.8918,0.4043,545.8918,0.40345,545.8918,0.40352
545.892,0.4044,545.892,0.40347,545.892,0.40353
545.8922,0.40451,545.8922,0.40339,545.8922,0.40362
545.8924,0.40467,545.8924,0.40342,545.8924,0.40352
545.8926,0.40447,545.8926,0.40349,545.8926,0.40352
545.8928,0.40459,545.8928,0.40338,545.8928,0.40366
545.893,0.40459,545.893,0.40351,545.893,0.40363
545.8932,0.40493,545.8932,0.40339,545.8932,0.40353
545.8934,0.40456,545.8934,0.40345,545.8934,0.40352
545.8936,0.40471,545.8936,0.40345,545.8936,0.40352
545.8938,0.40484,545.8938,0.40353,545.8938,0.40358
545.894,0.40488,545.894,0.40343,545.894,0.40345
545.8942,0.40489,545.8942,0.40342,545.8942,0.40349
545.8944,0.40492,545.8944,0.40344,545.8944,0.40366
545.8946,0.40496,545.8946,0.40348,545.8946,0.40364
545.8948,0.40473,545.8948,0.40349,545.8948,0.40355
545.895,0.40489,545.895,0.40342,545.895,0.40356
545.8952,0.405,545.8952,0.4035,545.8952,0.40352
545.8954,0.40495,545.8954,0.40354,545.8954,0.4035
545.8956,0.40502,545.8956,0.40355,545.8956,0.40355
545.8958,0.4053,545.8958,0.4035,545.8958,0.4036
545.896,0.40526,545.896,0.40346,545.896,0.40359
545.8962,0.40529,545.8962,0.40345,545.8962,0.40378
545.8964,0.40517,545.8964,0.40355,545.8964,0.40366
545.8966,0.40538,545.8966,0.40356,545.8966,0.40361
545.8968,0.40541,545.8968,0.40353,545.8968,0.40369
545.897,0.40527,545.897,0.40357,545.897,0.40362
545.8972,0.40528,545.8972,0.40356,545.8972,0.40368
545.8974,0.40535,545.8974,0.40353,545.8974,0.40366
545.8976,0.4055,545.8976,0.40359,545.8976,0.40403
545.8978,0.40542,545.8978,0.40347,545.8978,0.40373
545.898,0.40539,545.898,0.40355,545.898,0.40376
545.8982,0.4055,545.8982,0.40353,545.8982,0.4037
